,Rank,Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2
48,49,비공식작전,2023-08-02,10192841216,0.004,10192841216,1058745,1058745,1151,45083,한국,한국,"(주)와인드업필름,와이낫필름",(주)쇼박스,12세이상관람가,김성훈,200.0,0.0,하정우,주지훈,권은성,드라마,
49,50,1947 보스톤,2023-09-27,9466375798,0.004,9466375798,1027078,1027078,1282,63550,한국,한국,"(주)비에이엔터테인먼트,(주)빅픽쳐","롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",12세이상관람가,강제규,210.0,0.0,하정우,임시완,배성우,드라마,
50,51,댓글부대,2024-03-27,9235306011,0.004,9235306011,972116,972116,1228,67650,한국,한국,(주)영화적순간,(주)에이스메이커무비웍스,15세이상관람가,안국진,70.0,0.0,손석구,김성철,김동휘,범죄,드라마
51,52,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,9142532236,0.004,9142532236,945457,945457,883,39980,일본,일본,,(주)씨제이이엔,전체관람가,오네 히토시,90.0,,,,,애니메이션,
52,53,스파이더맨: 어크로스 더 유니버스,2023-06-21,9521750396,0.004,9521750396,923007,923007,1103,47346,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,호아킴 도스 산토스,1300.0,,샤메익 무어,헤일리 스테인펠드,제이크 존슨,애니메이션,
53,54,데시벨,2022-11-16,8852632146,0.004,8852632146,901426,901426,1152,55355,한국,한국,"이스트드림시노펙스(주),(주)기억속의매미",(주)마인드마크,12세이상관람가,황인호,120.0,0.0,김래원,채시은,임병훈,액션,
54,55,정직한 후보2,2022-09-28,8447760162,0.003,8447760162,899899,899899,1318,77223,한국,한국,"(주)수필름,(주)홍필름",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,장유정,60.0,0.0,라미란,김무열,윤경호,코미디,
55,56,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,9396809490,0.004,62648728870,896715,5884587,2276,59839,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,샘 레이미,3250.0,,베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,액션,어드벤처
56,57,아쿠아맨과 로스트 킹덤,2023-12-20,8990202656,0.004,8990202656,878012,878012,965,36735,미국,미국,,워너브러더스 코리아(주),12세이상관람가,제임스 완,2730.0,,제이슨 모모아,패트릭 윌슨,야히아 압둘 마틴 2세,액션,어드벤처
57,58,인디아나 존스: 운명의 다이얼,2023-06-28,8504251466,0.003,8504251466,860470,860470,1268,46174,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,제임스 맨골드,3835.0,,해리슨 포드,안토니오 반데라스,존 라이스 데이비스,어드벤처,액션
58,59,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,8371600924,0.003,8371600924,837755,837755,873,41975,일본,일본,,(주)씨제이이엔,전체관람가,타카하시 와타루,90.0,,,,,애니메이션,
59,60,장화신은 고양이: 끝내주는 모험,2023-01-04,7928562363,0.003,7928562363,836987,836987,924,43493,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,조엘 크로포드,1105.0,,안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,애니메이션,
60,61,명탐정코난: 흑철의 어영,2023-07-20,7705318105,0.003,7705318105,801511,801511,1030,34473,일본,일본,,(주)씨제이이엔,12세이상관람가,타치카와 유즈루,180.0,,,,,애니메이션,
61,62,블랙 아담,2022-10-19,8040723608,0.003,8040723608,779485,779485,1524,77116,미국,미국,,워너브러더스 코리아(주),12세이상관람가,자움 콜렛 세라,3380.0,,드웨인 존슨,노아 센티네오,피어스 브로스넌,액션,어드벤처
62,63,트랜스포머: 비스트의 서막,2023-06-06,7786907316,0.003,7786907316,769993,769993,1123,45195,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,스티븐 카플 주니어,2600.0,,안소니 라모스,피터 딘클리지,,액션,
63,64,대외비,2023-03-01,7469378721,0.003,7469378721,756355,756355,1157,53616,한국,한국,"(주)트윈필름,(주)비에이엔터테인먼트",플러스 엔터테인먼트,15세이상관람가,이원태,102.0,0.0,조진웅,이성민,김무열,범죄,드라마
64,65,자백,2022-10-26,7352559230,0.003,7352559230,738120,738120,1115,78568,한국,한국,리얼라이즈픽쳐스(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,윤종석,79.0,0.0,김도형,소지섭,김윤진,범죄,스릴러
65,66,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,7262598609,0.003,7262598609,732188,732188,844,28899,일본,일본,,(주)씨제이이엔,전체관람가,하시모 마사카즈,90.0,,,,,애니메이션,
66,67,프레디의 피자가게,2023-11-15,6960971006,0.003,6960971006,712361,712361,1041,35047,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,엠마 타미,260.0,,조쉬 허처슨,엘리자베스 라일,캣 코너 스털링,공포(호러),스릴러
67,68,리바운드,2023-04-05,6707546948,0.003,6707546948,699623,699623,1154,56700,한국,한국,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",(주)바른손이앤에이,12세이상관람가,장항준,70.0,0.0,홍성우,나현우,김영훈,드라마,
68,69,더 마블스,2023-11-08,6841156465,0.003,6841156465,690814,690814,1532,66818,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,니아 다코스타,2860.0,,브리 라슨,테요나 패리스,이만 벨라니,액션,SF
69,70,귀공자,2023-06-21,6704211465,0.003,6704211465,682856,682856,966,44887,한국,한국,"(주)영화사 금월,(주)스튜디오앤뉴",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,박훈정,100.0,0.0,정예지,김선호,강태주,액션,
70,71,유령,2023-01-18,6760765879,0.003,6760765879,664146,664146,1099,46961,한국,한국,더램프(주),(주)씨제이이엔,15세이상관람가,이해영,137.0,0.0,설경구,이하늬,박소담,드라마,액션
71,72,인어공주,2023-05-24,6668613190,0.003,6668613190,647706,647706,1364,37592,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,롭 마샬,3250.0,,멜리사 맥카시,하비에르 바르뎀,아콰피나,뮤지컬,가족
72,73,플래시,2023-06-14,6735756989,0.003,6735756989,635269,635269,1258,43343,미국,미국,,워너브러더스 코리아(주),12세이상관람가,안드레스 무시에티,2860.0,,에즈라 밀러,마이클 키튼,,액션,
73,74,혹성탈출: 새로운 시대,2024-05-08,6220144130,0.002,6220144130,611969,611969,1184,32141,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,웨스 볼,2080.0,,오웬 티그,프레이아 앨런,케빈 두런드,액션,SF
74,75,압꾸정,2022-11-30,5727172661,0.002,5727172661,608639,608639,1229,47410,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",(주)쇼박스,12세이상관람가,임진순,99.0,0.0,마동석,도희원,정경호,코미디,드라마
75,76,바비,2023-07-19,5760348243,0.002,5760348243,586371,586371,780,27733,미국,미국,,워너브러더스 코리아(주),12세이상관람가,그레타 거,1885.0,,마 로비,라이언 고슬링,아메리카 페레라,기타,
76,77,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022-06-01,5477045710,0.002,5477045710,581216,581216,809,14101,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,유야마 쿠니히코,180.0,,마츠모 리카,오오타니 이쿠에,이선호,애니메이션,
77,78,"귀멸의 칼날: 상현집결, 그리 도공 마을로",2023-03-02,6586552900,0.003,6586552900,535969,535969,410,20955,일본,일본,,(주)디스테이션,15세이상관람가,소토자키 하루오,200.0,,하나에 나츠키,키 아카리,시모노 히로,애니메이션,
78,79,3일의 휴가,2023-12-06,4943474917,0.002,4943474917,527831,527831,863,32778,한국,한국,글뫼 주식회사,(주)쇼박스,12세이상관람가,육상효,20.0,1.0,김해숙,신민아,강기영,판타지,드라마
79,80,더 문,2023-08-02,5207712778,0.002,5207712778,516556,516556,1187,30181,한국,한국,"씨제이이엔 스튜디오스 주식회사,블라드스튜디오",(주)씨제이이엔,12세이상관람가,김용화,280.0,0.0,설경구,도경수,박병은,SF,액션
80,81,고질라 X 콩: 뉴 엠파이어,2024-03-27,5109928603,0.002,5109928603,510254,510254,995,37745,미국,미국,,워너브러더스 코리아(주),12세이상관람가,아담 윈가드,1755.0,,댄 스티븐스,레베카 홀,브라이언 타이리 헨리,액션,어드벤처
81,82,"귀멸의 칼날: 인연의 기적, 그리 합동 강화 훈련으로",2024-02-14,5625264900,0.002,5625264900,497320,497320,393,26054,일본,일본,,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,소토자키 하루오,200.0,,,,,애니메이션,
82,83,명탐정 코난: 할로윈의 신부,2022-07-13,5160153224,0.002,5160153224,495842,495842,758,19672,일본,일본,,(주)씨제이이엔,12세이상관람가,미츠나카 스스무,180.0,,,,,애니메이션,
83,84,동감,2022-11-16,4755257700,0.002,4755257700,490145,490145,1013,37451,한국,한국,(주)고고스튜디오,씨제이 씨지브이(CJ CGV)(주),12세이상관람가,서은영,30.0,0.0,신기환,여진구,조이현,멜로/로맨스,
84,85,소년들,2023-11-01,4470423586,0.002,4470423586,471425,471425,1042,43356,한국,한국,"(주)아우라픽처스,(주)씨제이이엔",(주)씨제이이엔,15세이상관람가,정지영,100.0,0.0,설경구,유준상,진경,드라마,범죄
85,86,늑대사냥,2022-09-21,4769650393,0.002,4769650393,458720,458720,1226,39242,한국,한국,"(주)콘텐츠지,(주)영화사채움","TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",청소년관람불가,김홍,130.0,0.0,김세중,서인국,장동윤,액션,범죄
86,87,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,4215596775,0.002,4215596775,451136,451136,748,17949,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"강승훈,윤제완",20.0,1.0,이선,이미자,김현지,애니메이션,
87,88,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,4129728321,0.002,4129728321,432388,432388,686,17355,한국,한국,(주)씨제이이엔,(주)씨제이이엔,전체관람가,변영규,20.0,1.0,김영은,김채하,신용우,애니메이션,
88,89,타겟,2023-08-30,4003424694,0.002,4003424694,424916,424916,986,43332,한국,한국,(주)영화사피어나,플러스 엔터테인먼트,15세이상관람가,박희곤,45.0,0.0,신혜선,김성균,임성재,스릴러,
89,90,스위치,2023-01-04,4015064694,0.002,4015064694,422417,422417,912,37589,한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,마대윤,48.0,0.0,권상우,오정세,이민정,기타,
90,91,놉,2022-08-17,4710335135,0.002,4710335135,416048,416048,1031,31747,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,조던 필,884.0,,다니엘 칼루야,키키 팰머,스티븐 연,미스터리,공포(호러)
91,92,서치 2,2023-02-22,4084323024,0.002,4084323024,414598,414598,868,36910,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"니콜라스 D 존슨,윌 메릭",91.0,,스톰 리드,켄 렁,다니엘 헤니,미스터리,스릴러
92,93,리멤버,2022-10-26,3970165717,0.002,3970165717,412836,412836,1189,51986,한국,한국,(주)영화사 월광,(주)에이스메이커무비웍스,15세이상관람가,이일형,50.0,0.0,이성민,남주혁,박근형,드라마,
93,94,트롤: 밴드 투게더,2023-12-20,3756959485,0.002,3756959485,407589,407589,845,15172,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,월트 도른,1235.0,,안나 켄드릭,저스틴 팀버레이크,주이 디샤넬,애니메이션,
94,95,인시디어스: 빨간 문,2023-07-19,4096944506,0.002,4096944506,401656,401656,758,18759,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,패트릭 윌슨,208.0,,패트릭 윌슨,타이 심킨스,,공포(호러),
95,96,싱글 인 서울,2023-11-29,3748567012,0.002,3748567012,400651,400651,917,32604,한국,한국,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,박범수,45.0,0.0,이동욱,임수정,이솜,멜로/로맨스,코미디
96,97,카운트,2023-02-22,3784714091,0.002,3784714091,398542,398542,946,37255,한국,한국,"(주)필름케이,(주)26컴퍼니",(주)씨제이이엔,12세이상관람가,권혁재,50.0,0.0,진선규,김지창,성유빈,드라마,
97,98,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,3533478203,0.001,3533478203,387491,387491,850,18257,한국,한국,(주)오콘,씨제이 씨지브이(CJ CGV)(주),전체관람가,"윤제완,김성민",10.0,1.0,이선,이미자,함수정,애니메이션,
98,99,상견니,2023-01-25,3817249538,0.002,3817249538,384476,384476,699,34290,대만,대만,,"오드,리바이브콘텐 주식회사,씨제이 씨지브이(CJ CGV)(주)",15세이상관람가,황천인,30.0,,가가연,허광한,시백우,드라마,판타지
99,100,도그데이즈,2024-02-07,3574759608,0.001,3574759608,368095,368095,847,27553,한국,한국,(주)씨제이이엔,(주)씨제이이엔,12세이상관람가,김덕민,82.0,0.0,윤여정,유해진,김윤진,드라마,
100,101,더 넌 2,2023-09-27,3754295273,0.002,3754295273,360743,360743,720,20965,미국,미국,,워너브러더스 코리아(주),15세이상관람가,마이클 차베즈,507.0,,타이사 파미가,보니 아론스,조나스 블로켓,공포(호러),
