Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2,rating,sentiment,YearMonth,남자 인구수,여자 인구수,총인구수,가계지출,소비지출,비소비지출,ViewCount,LikeCount,Actor1,Actor2,Actor3,Month,GENRE1,GENRE2
멍뭉이,2023-03-01,1832643386,0.001,1832643386,196529,196529,649,15443,한국,한국,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",(주)키다리스튜디오,전체관람가,김주환,30.0,0.0,유연석,차태현,,드라마,,3.44,50.55,2023.03,25621573.0,25792708.0,51414281.0,1708.0,1484.0,224.0,1926569.0,2914.0,196529.0,196529.0,,3,0.12,
킬링 로맨스,2023-04-14,1833415642,0.001,1833415642,191650,191650,998,26101,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,이원석,76.0,0.0,이상진,이하늬,이선균,코미디,,3.27,68.89,2023.04,25617485.0,25790670.0,51408155.0,1869.0,1625.0,244.0,3255103.0,2136.0,191650.0,427898.0,831004.5,4,0.13,
헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,1811452126,0.001,1811452126,185507,185507,986,19755,미국,미국,,(주)누리픽쳐스,15세이상관람가,프란시스 로렌스,1300.0,1.0,레이첼 지글러,톰 블라이스,헌터 샤퍼,액션,어드벤처,3.52,69.1,2023.11,25572695.0,25764381.0,51337076.0,2183.0,1895.0,288.0,32702.0,255.0,185507.0,185507.0,185507.0,11,0.08,0.12
오멘: 저주의 시작,2024-04-03,1859296182,0.001,1859296182,180695,180695,644,16507,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,아르카샤 스티븐슨,390.0,0.0,넬 타이거 프리,타우픽 바롬,소냐 브라가,공포(호러),,3.23,88.11,2024.04,25541855.0,25743298.0,51285153.0,,,,788824.0,621.0,180695.0,180695.0,180695.0,4,0.17,
오펀: 천사의 탄생,2022-10-12,1808746476,0.001,1808746476,177880,177880,707,20180,미국,미국,,메가박스중앙(주),15세이상관람가,윌리엄 브렌트 벨,130.0,1.0,이사벨 퍼만,줄리아 스타일즈,로지프 서덜랜드,공포(호러),스릴러,2.56,67.56,2022.1,25649509.0,25810117.0,51459626.0,1974.0,1646.0,328.0,54435.0,288.0,177880.0,177880.0,177880.0,10,0.17,0.17
극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,1609124999,0.001,1609124999,173896,173896,616,9459,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,정길훈,10.0,0.0,김서영,이윤희,김은아,애니메이션,,3.1,77.0,2022.09,25653998.0,25812660.0,51466658.0,2097.0,1696.0,401.0,578985.0,741.0,173896.0,173896.0,173896.0,9,0.1,
퍼피 구조대: 더 마이티 무비,2023-10-06,1566183076,0.001,1566183076,172545,172545,566,9675,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,캘런 브런커,2.6,0.0,정선혜,박지윤,신용우,애니메이션,어드벤처,3.2,87.5,2023.1,25582773.0,25771453.0,51354226.0,2078.0,1719.0,359.0,44740.0,110.0,172545.0,172545.0,302466.5,10,0.02,0.12
플라워 킬링 문,2023-10-19,1588789082,0.001,1588789082,167914,167914,719,14605,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,마틴 스코세이지,2600.0,0.0,레오나르도 디카프리오,로버트 드 니로,,범죄,드라마,4.18,73.06,2023.1,25582773.0,25771453.0,51354226.0,2078.0,1719.0,359.0,728823.0,610.0,167914.0,167914.0,,10,0.17,0.1
가문의 영광: 리턴즈,2023-09-21,1608459160,0.001,1608459160,167878,167878,823,20003,한국,한국,(주)태원엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"정태원,정용기",40.0,0.0,윤현민,유라,김수미,코미디,,1.2,32.38,2023.09,25592335.0,25777666.0,51370001.0,2117.0,1772.0,345.0,10943.0,17.0,167878.0,167878.0,167878.0,9,0.27,
마루이 비디오,2023-02-22,1705521500,0.001,1705521500,165892,165892,284,8962,한국,한국,"(주)발포플랜,(주)브라더픽처스","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",15세이상관람가,윤준형,30.0,0.0,서현우,조민경,임한성,미스터리,공포(호러),2.2,45.22,2023.02,25626211.0,25795268.0,51421479.0,1788.0,1500.0,288.0,88356.0,242.0,165892.0,165892.0,165892.0,2,0.3,0.17
