title,date
Business Oil Expert Cautions That Shortages Are Not Entirely ,1988-05-18
Exxon Reports Earnings. ,1988-05-20
Action Against Caltex. ,1988-05-20
China's Largest Oil Field To Run At A Loss. ,1988-05-24
'Cream Of The Crop Judged. Former Director Of The Southern ,1988-05-24
The Vindicator ,1988-05-27
Oil Prices Drift Lower. ,1988-05-29
Is There A Cure For Africa's Foreign Debts? ,1988-05-29
Warning ,1988-05-31
'88 Looking Up For Depressed Oil States. Luvv Prices Sink. ... ,1988-05-31
Crude Oil Production ,1988-06-01
"Oilfield To Produce By Late 1990, Says Bulletin ",1988-06-02
Warning ,1988-06-02
International Opec Puts Off Meeting To June 11. ,1988-06-03
Reading Eagle ,1988-06-03
Reuters ,1988-06-04
Counter Trade May Be On The Decline. ,1988-06-06
Wholesale Prices Rise In May. ,1988-06-10
Commodity Roundup. ,1988-06-10
Sl Refinery Observes 40th Anniversary. ,1988-06-10
Pumice Assures Smooth Wood Surface. ,1988-06-10
Oil Glut Tops Opec Agenda. ,1988-06-10
Opec Wants Unity. ,1988-06-12
Opec Told To Set Aside Differences. ,1988-06-12
Opec Chief Urges Members Ignore Differences. ,1988-06-12
"Jane M. Smith Of Morgantown, Using Pumice Can Give That ",1988-06-12
New Spirit Could Ease Opec Woes. ,1988-06-18
Saudi Arabia Clinches $2 Billion Joint Venture Deal With Texaco,1988-06-20
Pittsburgh Post-Gazette ,1988-06-21
Ocala Star-Banner ,1988-06-21
Repeal This Obsolete Oil Tax. ,1988-06-21
Oil Prices Take Plunge. ,1988-06-21
International Boost For Indonesia's Petro Chemical Industry. ,1988-06-21
Il Prices Recover Rom Early Slump. ,1988-06-23
Gas Futures On Increase. ,1988-06-23
Drought Causes No Water Woes In City. ,1988-06-24
Are There Many Kinds Of Oils? ,1988-06-24
Oil Prices Decline. ,1988-06-24
Commodity Roundup. ,1988-06-24
Sydney: Shares Fall Sharply. ,1988-06-29
May Burn Off Oil Spill. ,1988-06-29
Fair Site Dedication July 17. ,1988-06-30
World Oil Prices Plunge. ,1988-06-30
International Businesss? Finance. Oil Prices Likely To Go Up ,1988-08-01
Opec Pricing Panel Faces Uphill Fight Against Glut. ,1988-08-03
Crude Oil Production ,1988-08-03
Expected Tax Repeal May Boost Optimism. ,1988-08-05
Gulf War: Oil Boom Sparked It And Doused It. ,1988-08-05
"Uil Futures Uip. Amid Opec, Inventory Woes. ",1988-08-05
The Sydney Morning Herald ,1988-08-05
Looking For Some Market Action? Just Wait For The Next Headline!,1988-08-06
'New Era Is Just Another Giveaway. ,1988-08-06
"Drilling Started To See If Paris, City Of Light, Sits On ... ",1988-08-07
Irish ,1988-08-07
Social Security? Many People Only Know. ,1988-08-07
Non-Opec Ready For Cuts: Oil Chief. ,1988-08-08
Non-Opec Producers Still Willing To Curb Output'. ,1988-08-08
Barge Releases Oil Into Gulf Of Mexico. ,1988-08-12
Headlines And Market Action ,1988-08-12
Petronas Awarded $840m Loan By Japanese Govt. ,1988-08-12
Ruptured Barge Spills Oil Off Mississippi. ,1988-08-12
Earth Sake. ,1988-08-13
Oil Futures Prices Drop. ,1988-08-13
Probe On Oil Companies Alleged Tax Evasion Set. ,1988-08-13
Gushers And Dusters. Oil Well Completed. Jackson County. ,1988-08-14
Manila Standard ,1988-08-14
Oil Futures Prices Climb. ,1988-08-15
Output May Be Cut By One Mil Bpd: Opec Chief. ,1988-08-16
Oil Production Cut Is Predicted J. ,1988-08-16
The Indian Express ,1988-08-16
"Am Am Gazette, Thursday, August. I No If. It In Ill Ll. ... ",1988-08-18
Guingona Seeks Further Rollback In Oil Prices. ,1988-08-23
Oil Prices Close Higher. ,1988-08-23
Caltex Seeks Gov't Refund. ,1988-08-25
Warning ,1988-08-25
Tanker Oil ,1988-08-25
Warning ,1988-08-25
Oil Futures Prices Go Up In Sporadic Trading Day. ,1988-08-27
Oil Prices Down Anew. ,1988-08-27
More Than M79 M Spent On Environment. ,1988-08-27
Berry's World. ,1988-08-29
Oil Refiners Adapt To Market Changes. ,1988-08-29
Texaco Payments Ok'd. ,1988-08-29
Texaco Settlement Ok'd. ,1988-08-29
Texaco Settlement. ,1988-08-29
Schenectady Gazette ,1988-08-30
Us Approves Texaco Payment. ,1988-08-30
Texaco To Pay Us. ,1988-08-30
Billion Texaco Settlement Finalized. ,1988-08-30
Texaco Payments Ok'd. ,1988-08-30
I Settleient. Approved ,1988-08-30
Nasa Loads Satellite Aboard Space Shuttle. ,1988-08-30
Deal With Texaco. ,1988-08-30
Texaco To Pay Us. Billion ,1988-08-30
Ellensburg Daily Record ,1988-08-30
Petroleum Research Continues. ,1988-10-02
Research Facility Going Strong Despite Prices. ,1988-10-02
Petroleum Research Ill Continues. ,1988-10-02
Letters To The Editor: ,1988-10-02
New Role For Once-Powerful Opec: Small Fish In A. Big Pond. ,1988-10-02
"Tenneco Sells Its Oil, Gas Subsidiary In Biggest Auction By ... ",1988-10-11
Saudi Arabia To Remain In Opec. Riyadh Denies Quit... ,1988-10-11
"Reduce Oil Output To Agreed Levels, Saudis Implore Opec. ",1988-10-11
Editorial Lower Prices And Planning. ,1988-10-11
Oil Tax Cut! Not. On Yet'. ,1988-10-14
Good Reasons For A Tax. ,1988-10-17
In Washington Premium Boondoggle In Gas. ,1988-10-17
No More Oil Discount. ,1988-10-17
Oil Prices Continue Climb. ,1988-10-18
Agriculture ,1988-10-18
Daytona Beach Sunday News-Journal ,1988-10-19
"Linstock, Fettle. ",1988-10-21
"Heating Oil, Gas Prices Defy Reason, Tradition ",1988-10-21
Markets Comm Odity Roundup. ,1988-10-22
Oil Crisis? What Oil Crisis? ,1988-10-23
"Opec Cut In Oil Production Expected, Top Ministers Say. ",1988-10-23
Nation ,1988-10-26
West Asia Crude Below $26.50 A Barrel. ,1988-10-26
Oil Companies Reap Profits. ,1988-10-26
Crude Oil Futures Mixed In Dull Trading. ,1988-10-27
Oil Prices Mixed In Dull Trading. ,1988-10-27
Oil Market May Adjust. ,1988-10-27
Oil Market May Adjust. ,1988-10-27
Premium Gas Boondoggle. ,1988-10-27
Price Drops Leave Producers With The Oil Barrel Blues. ,1988-10-30
Price Drop Isn't Hurting Oil Research. ,1988-10-30
"Slipping On Oil Glut. Us Economy. Thrives, Management In ... ",1988-10-30
Banker Cites Texas Crisis To Rotarians. ,1988-10-30
State May Truck Oil-Slickened Birds Inland ,1989-01-03
"Texaco, Saudi Agree To Venture. ",1989-01-03
World ,1989-01-03
Spills Threatened In Alaska. ,1989-01-05
Ellensburg Daily Record ,1989-01-06
Glitch May Have Caused Oil Spill. ,1989-01-08
The Indian Express ,1989-01-08
"The Victoria Advocate, Sunday, January 8, 1989-7a. Missouri ",1989-01-08
Boca Raton News ,1989-01-16
Opec Help Sought To Stabilize Prices. ,1989-01-16
Oil Futures Market Soars. ,1989-01-16
Futures Plunge. ,1989-01-18
State Oil Production Continues At 100%. ,1989-01-18
Oil Price Gains Strong. ,1989-01-18
Corn Futures Plunge Again ,1989-01-18
Hi Price Mis 4-Month High High. ,1989-01-19
Crude-Oil Futures Break $19 Barrier. ,1989-01-19
Oil Prices Surge In Rally; Crude At 14-Month High. ,1989-01-19
The Indian Express ,1989-01-19
Vai Any. Tore Oil In Ir. ,1989-01-19
Oil Production Holds. ,1989-01-19
Oil Prices Continue Advance. ,1989-01-19
Grand Jury Takes Look At Oil Spill. ,1989-01-22
Texaco Canada Sold For $Use. 1 5 Billion ,1989-01-23
Index ,1989-01-23
Oil Production Figures Released. ,1989-01-25
News Briefs. ,1989-01-25
Opec Planners Huddle On Crude Oil Prices. ,1989-01-26
"Low Crude Prices Cut Mobil, Chevron And Exxon Profits. ",1989-01-26
Lodi News-Sentinel ,1989-01-26
Oil Traders Watching For Signs Of Deal To Control Production,1989-01-26
Crude Oil Prices Soar. ,1989-01-26
Shell Earnings Decline. ,1989-01-26
Ucers Recommend Steps To Boost Prices. ,1989-01-27
Groups Seek Oil Price-Support Agreement. ,1989-01-27
"Opec Leaders Agree, Want Higher Prices. ",1989-01-27
Oil Producers Make Price-Hike Pact. ,1989-01-27
International Opec Attempt To Secure Accord To Boost Prices. ,1989-01-28
Thcf Total. ,1989-01-28
Volatil ,1989-01-28
Commodities: Review. ,1989-01-30
Oil-Drilling Measure Aims To Protect Bay. ,1989-01-30
It Oil For Oil Import Fee. ,1989-01-30
Simex To Offer Fuel Oil Futures Contract. ,1989-02-02
Sarasota Herald! Sunday February 1989. Oil Spill May Harm ,1989-02-04
Bp Exploration Will Spend Nearly $900 Million In ,1989-02-04
A4 The Day. New London Conn Sunday. Antarctic Oil Spill May ,1989-02-04
Hance Says Hell Pay For Switzerland Trip. ,1989-02-05
Ship's Oil Spill May Threaten Antarctic Environment. ,1989-02-05
Antarctic Oil Spill Threatens Wildlife Research. ,1989-02-05
Scientists: Antarctic Spin Threatens Research. ,1989-02-05
The Telegraph ,1989-02-05
Oil Spill Threatens Study. ,1989-02-05
Threatens Research. ,1989-02-05
Antarctic Spill Threat To Wildlife. ,1989-02-05
"Scientists Say Oil Spill Hurts Nature, Wildlife Research. ",1989-02-05
Wildlife Study Threatened By Antarctic Spill. ,1989-02-05
Antarctic Oil Spill May Threaten Study. ,1989-02-05
Experts: Antarctic Spill Has Forever Chanaed Researcl. ,1989-02-05
Sarasota Herald Trib. Sunday February 1989. Oil Spill May ... ,1989-02-05
Crude Oil. ,1989-02-08
Greenwich ,1989-02-08
Greenwich ,1989-02-08
Editorial ,1989-02-08
Commodity Roundup. ,1989-02-08
Crude Oil Futures Bound Back After Early Slide. ,1989-02-08
"4a.. Thursday Februarys, We. The Federal Gas Tax Should Be ",1989-02-09
Fine Powder Covers Kenova. ,1989-02-09
Wholesale Costs Skyrocket At Annual Rate Of ,1989-02-10
Wholesale Prices Soar. ,1989-02-10
Oil Flows Threaten Continent's Pristine Environment. ,1989-02-10
Producer Prices Soar At 12.7 Percent Annual Rate. ,1989-02-10
Wholesale Prices Soar At Annual Rate Of 12.7 Percent. By ... ,1989-02-10
Wholesale Prices Shoot Up. January's Surge At Annual Rate ... ,1989-02-10
Energy Futures Fall Sharply. ,1989-02-11
Wholesale Prices Soar At Annual Rate Of ,1989-02-11
Commodities ,1989-02-11
The Telegraph ,1989-02-13
Ekiss Us. Sam Donaldson.. Gas Tax Should Increase. ,1989-02-13
102 Legal 102. Legal Notices Notices. ,1989-02-14
Crude Oil Prices Decline. ,1989-02-14
Observer-Reporter ,1989-02-14
Crude Oil. ,1989-02-14
Crude Oil Prices Decline. ,1989-02-15
Palouse Wheat Could Ease Opec Squeeze. ,1989-02-15
Oil Tanker Adrift In North Sea. ,1989-02-15
Commodities ,1989-02-15
The Glasgow Herald ,1989-02-17
Bp Profits Down 13 Per Cent. ,1989-02-18
Deficit ,1989-02-19
Game Of Chicken Over. ,1989-02-20
Non-Opec Nations Back Cut In Exports. ,1989-02-22
Amoco To Pay France. Judge Adds To Oil Spill Damages. ,1989-02-22
Spokane Chronicle ,1989-02-22
Non-Opec Nations May Join Move To Spur Price Pickup. Oil ,1989-02-22
Non-Opbu Producers To Cut Exports. ,1989-02-22
In Alaska. New Oil Field Found. ,1989-02-22
Independent Producers Offering To Help Opec. ,1989-02-22
Petroleum Futures Mixed. ,1989-02-24
Wells Yield More Gas. ,1989-02-24
Commodities ,1989-02-24
Earnings From Crude Oil Up. ,1989-02-24
Commodity Roundup. ,1989-02-25
China Discovers New Oilfields. ,1989-02-26
Demand Drops Ohioans Also Suffer From Oil Price's In January ,1989-02-26
Warning ,1989-02-27
Shell Workers Buried Soiled Coveralls In River Sandbar. ,1989-02-28
Petroleum Futures. ,1989-02-28
"Rub-A-Dub-Dub, In Style. Models Wave From The Front Seat. Of ",1989-02-28
Wrong Audience. ,1989-02-28
Business Capsules. Egypt Raises Oil Price. ,1989-03-01
Possible Way To Improve Oil Extraction Process. ,1989-03-01
Energy Futures Go Higher. ,1989-03-02
Commodities ,1989-05-01
Captain Of Indian Supertanker Detained After Spill. ,1989-05-01
Ocean Fungus May Be Partial To Oil Spill Snack. ,1989-05-01
Sarasota Herald-Tribune ,1989-05-02
Nw Asks Gas-Price Probe. 3 States Federal. At The Gas Pumps. ,1989-05-02
Probe Of Oil Prices Asked. ,1989-05-02
Officers To Probe Oil Prices. ,1989-05-02
Crude Oil Prices Increase. ,1989-05-02
Don't Panic! The Pumps Won't Just Dry Up. By Roger Nicholson,1989-05-02
Officials Want Oil Price Answers. ,1989-05-02
Us Asked To Probe Gas Prices. ,1989-05-02
Oil Prices Fall As Saudis Boost Output. ,1989-05-03
Who Is Really Behind Rising Cost Of Gasoline? ,1989-05-03
Us Total Crude Oil Imports. ,1989-05-03
Oil Spill Wasn't That Terrible. Buchwald ,1989-05-05
Investigation In New York Slows Trading. ,1989-05-05
Observer Reporter. Washington Saturday. May Gasoline Prices ,1989-05-06
The Lewiston Journal ,1989-05-06
A Devastating Oil Spill. ,1989-05-06
Oil Firm Eyes Expansion ,1989-05-07
"Big Oil Spill Would Still Overwhelm Puget Sound Equipment, ",1989-05-08
Rising Demand Boosts Market For Opec Oil. ,1989-05-10
Painful Lesson Learned. ,1989-05-10
"8d-The Victoria Advocate, Wednesday, May 10, 1989. Firm ... ",1989-05-10
Indian Wells Practices Detailed... Oil Thefts Found Common ,1989-05-10
Firm Accused Of Oil Thefts Evacuation Proposed From Indians ,1989-05-10
Commodities ,1989-05-10
Nation's Oil Stockpile Losing Security Value. ,1989-05-10
Company Linked To Theft Of Indian Oil. ,1989-05-10
Company Implicated In Theft Of Oil Stolen From Indians. ,1989-05-10
Ex-Oil Employees Say Stealing From Indian Wells Is Common ,1989-05-10
Opec Secretary: World. Could Bear Higher. Oil Price. ,1989-05-11
Letters: ,1989-05-11
Regionstate Coal Production Expected To Remain Strong. ,1989-05-12
The Rochester Sentinel ,1989-05-12
Treasury Bills. ,1989-05-12
Commodities ,1989-05-12
Oil Price Increase Fuels Inflation ,1989-05-12
Valdez Oil Spill Rearranging Alaskan Political Alliances. ,1989-05-13
Halibut Season Opens Despite Oil. ,1989-05-15
Outdated Plan Forms Basis Of Hudson Oil Spill Control. ,1989-05-15
Oil Spill Inquiry To Begin ,1989-05-15
