title,date
Chevron: First Loss Since Depression ,1987-02-13
Doubts About Opec Sink Energy Prices. ,1987-02-24
Outlook For Gas Prices Improving After Climb. ,1987-03-03
Toledo's Refineries. Two Pe-I. ,1987-02-01
St. Joseph Gazette ,1987-02-26
Commodities ,1987-02-24
"Gas Prices Dropping, Glut Cited. ",1987-03-01
"Oil Pricing Only To Suit Government, Says Bhp. ",1987-02-26
Oil Prices Slide Toward $16 A Barrel Associated Press. ,1987-02-26
Discovery Of Crude Oil Significant. ,1987-02-18
World Crude Oil Reserves. ,1987-02-09
Oil Price Falls Below $16. ,1987-02-26
Commodities ,1987-02-12
Gettysburg Times ,1987-03-03
Gettysburg Times ,1987-02-12
Has First Dog Rex Been Seeing Ghosts? ,1987-02-17
Texaco Is Hit With Billion Bill From Irs For Back Taxes. ,1988-01-14
Texaco May Owe. ,1988-01-14
Us Crude Oil Slipped 4.1 Pet. In ,1988-01-05
Deadline Extended For Farm Crude Oil Refunds. ,1988-01-13
Commodities ,1988-01-04
Saudis Said Selling Oil Below Opec Price. ,1988-01-11
Us Oil Production May Decline Further. ,1988-01-09
Uncertainty Over Oil Outlook. Big Us Price Fall Likely: ... ,1988-01-28
Deadline Pushed Back For Crude Oil Refunds. ,1988-01-08
The Vindicator ,1988-01-14
Crude Oil Futures Finish Slightly Lower'. ,1988-01-14
Ocala Star Banner Saturday. January 2.1988 Quick-Fix Budget ,1988-01-01
Another Oil Opportunity. ,1988-01-05
Bank Of America Foresees Volatile Oil Price. ,1988-01-29
The Free Lance-Star ,1988-01-19
Crude Oil Refund Deadline Extended. ,1988-01-20
"Saudi Decision To Cut Oil Prices Could Hurt Opec, Us. Industry",1988-01-18
Other Major Inland Spills. ,1988-01-05
Record-Journal ,1988-01-19
Alaska May Have Passed Texas In Oil Production ,1988-01-14
Alaska May Have Passed Texas In Oil Production ,1988-01-12
Deficit Hocus-Pocus. ,1988-01-06
Crude Oil Refund. ,1988-01-11
Deficit Hocus-Pocus. ,1988-01-03
The Great American Deficit Hocus-Pocus. ,1988-01-18
Some Deficit Hocus-Pocus. ,1988-01-04
Deficit Hocus-Pocus. ,1988-01-08
Jack Anderson.. Iran May Join Oil Curb. ,1988-01-16
Iran May Finally Cut Oil Production ,1988-01-16
Iran May Cut Back On Oil Production ,1988-01-20
"Hex, He May Not Have A Pulse, Buthe Can Still Work A Crowd. ",1988-01-16
Iranians May Cut Oil. ,1988-01-16
Iranians May Cut Back On Oil Production ,1988-01-20
Iran May Cut Back Oil Production Jack Anderson ,1988-01-16
Washington Merry-Go-Round Iranians May Finally Cut Back Oil. ,1988-01-18
Coming Around. ,1988-01-16
Farmers Oil Refund Extended. ,1988-01-08
Shocks Texaco. ,1988-01-14
Iranians May Cut Back Oil Production ,1988-01-16
Ohic Fuel-Buying Groups Are Hot Idea For Saving On High ... ,1988-01-07
Oil Spill Payout Highest Ever. ,1988-01-13
Iran May Cut Oil Productior Washington Arabia's Pd Iranian ... ,1988-01-17
Stock Prices Fall Steeply; Instability Of Market Is Cited. ,1988-01-12
Jack Anderson Iranian Cheap Oil. ,1988-01-16
Candidates Urged To Know Finances. ,1988-01-18
Crude Oil... Prices Crumble With Opec. ,1988-01-12
Commodities ,1988-01-07
Iran Eyes Cutback On Oil Production ,1988-01-17
Slash Fuel Bills. ,1988-01-06
Iran May Cut Its. ,1988-01-17
Ashland Oil Inc. ,1988-01-27
Crude Oil Futures. Slip ,1988-01-01
U-S-Oil Production Down... While Demand Up In 1987. ,1988-01-14
Joining A Fuel-Buying Group Can Work To Your Advantage. ,1988-01-08
Dr Edwin Kw Assid Lias Opened His Office At 2867 Washington ,1988-01-27
"Slower Growth, But No Recession ",1988-01-10
Irs Says Texaco May Owe $6 5 Billion In Back Taxes. ,1988-01-14
Weak Prices Of Oil Push Usx Into Red. ,1988-01-27
For First Time Since Prices Plunged. Major New Oil ... ,1988-01-18
"Amoco Owes $85 Million For Oil Spill, Judge Rules. ",1988-01-12
Gainesville Sun ,1988-01-14
Texaco ,1988-01-14
Deficit Hocus-Pocus. ,1988-01-07
Robert Walters... Deficit Hocus-Pocus. ,1988-01-08
Texaco Inc. May Owe $65 Million In Taxes. ,1988-01-14
Commodity Roundup. ,1988-01-13
Texaco Gets Tab On Billion In Overdue Taxes. ,1988-01-14
Irs: Texaco Owes Hillior ,1988-01-14
Oil Prices Slightly Lower; Stocks Fall Back. ,1988-01-13
Hands Billion Tax Bill To To Financially-Troubled Texaco. ,1988-01-14
"Pa Oil Spill Not Unusual, Epa Says. ",1988-01-06
Oil Prices Are Lower; Stocks Fall. ,1988-01-13
Irs Seeks Billion In Back Taxes From Troubled Texaco. ,1988-01-15
Report Pushes Oil Price Down. ,1988-01-12
Humphrey Criticizes Bush For Role In Oil Price Increase. ,1988-01-19
Weekly Round-Up. ,1988-01-18
Iranians May Finally Cut Back Oil Production ,1988-01-18
Prudhoe Oil Polluting Tundra? Groups Protest Further As ... ,1988-01-21
Long Range Outlook Said Good Bellevue Air Tested. ,1988-01-08
Leader To Meet Reagan Environmental Groups Claim Tundra ,1988-01-21
Texaco To Billion Loss For 87. ,1988-01-28
Commodities ,1988-01-27
By Feds And State. Shell Application To Be Checked. ,1988-01-15
Jack Anderson ,1988-01-16
Oil Spill Should Have Surprisingly Light Impact. ,1988-01-08
Moscow-Pullman Daily News ,1988-01-12
"Jm Petroleum Corp, Is Now Accepting Applications For Crude ",1988-01-20
Oil Prices Drop; Stocks Fall Amid Anxiety. ,1988-01-13
Oil Prices Are Nearing $18 Mark. ,1988-01-06
January Gas Prices Lowest Since 1980. ,1988-01-29
Commodities ,1988-01-08
Cheaper Crude Oil Blends. ,1988-01-19
87 Wholesale Prices. Show Modest Gain ,1988-01-15
Jack Anderson ,1988-01-16
Exxon Gain ,1988-01-27
"Drilling Of Oil, Natural Gas Wells In Us. Expected To Rise By ",1988-01-30
Oil Well Drilling To Increase. ,1988-01-30
Oil Prices Slip Lower. ,1988-01-01
Sun Refinery Hit By Smoky Blaze. ,1988-01-08
Manila Standard ,1988-01-21
Ill ,1988-01-13
Keating; Lifts Limit On Foreign Oil And Gas Investment. ,1988-01-21
Exxon Posts Earnings Gain ,1988-01-26
"Business Capsules. Oil, Gas Production Remains Stable. ",1988-01-06
More Opec Uncertainty Drops Price. ,1988-01-13
The Indian Express ,1988-01-05
Iraq Claims Ship Attack; Two Die In An Earlier Raid. ,1988-01-29
